order_id,order_date,order_total_price,product_price,order_discounts,product_discount,order_status,product_title,product_sku,product_quantity,product_category,weekdays,sch_holidays
20517,2018-01-05,1584.65,229.99,yes,0.0,fulfilled,"MONO Vertigo Keyboard 61 Case, Black",M80-K61-BLK,1,Keyboard Cases & Gig Bags,5,Non Holidays
20517,2018-01-05,1584.65,229.99,yes,0.0,fulfilled,"MONO Classic FlyBy Backpack, Black",EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,5,Non Holidays
20517,2018-01-05,1584.65,39.99,yes,0.0,fulfilled,"MONO Warsaw Guitar Strap, Manta Black",M80-WAR-BLK,2,Guitar Straps,5,Non Holidays
20517,2018-01-05,1584.65,39.99,yes,0.0,fulfilled,"MONO Doolittle Guitar Strap, True Black",M80-DLT-BLK,2,Guitar Straps,5,Non Holidays
20517,2018-01-05,1584.65,109.99,yes,0.0,fulfilled,"MONO Pedalboard Lite, Black",PFX-PB-LT-BLK,1,Pedalboards,5,Non Holidays
20517,2018-01-05,1584.65,219.99,yes,0.0,fulfilled,"MONO Pedalboard Medium, Black",PFX-PB-M-BLK,1,Pedalboards,5,Non Holidays
22525,2018-02-01,209.99,209.99,yes,0.0,fulfilled,"MONO Cymbal Case 24"", Ash",M80-CY24-ASH,1,Drum & Percussion Cases & Gig Bags,4,Non Holidays
22522,2018-02-01,160.86,149.99,yes,0.0,fulfilled,"MONO Sleeve Electric Guitar Case, Black",M80-SEG-BLK,1,Electric Guitar Cases & Gig Bags,4,Non Holidays
22516,2018-02-03,,0.01,yes,0.0,fulfilled,MONO Tear-Aid Fabric Repair Kit,TEAR-AID,1,Spareparts,6,Non Holidays
22514,2018-02-04,165.23,199.99,no,0.0,fulfilled,"MONO Classic Acoustic Parlor Guitar Case, Black",M80-AP-BLK,1,Acoustic Guitar Cases & Gig Bags,7,Non Holidays
22502,2018-02-05,149.99,149.99,yes,0.0,fulfilled,"MONO Sleeve Electric Guitar Case, Ash",M80-SEG-ASH,1,Electric Guitar Cases & Gig Bags,1,Non Holidays
22524,2018-02-01,209.99,209.99,yes,0.0,fulfilled,"MONO Cymbal Case 24"", Ash",M80-CY24-ASH,1,Drum & Percussion Cases & Gig Bags,4,Non Holidays
22515,2018-02-04,339.98,89.99,yes,0.0,fulfilled,"MONO Classic Tick Accessory Case 2.0, Grey",M80-TICK-V2-GRY,1,Pedals & Pedalboards Cases & Gig Bags,7,Non Holidays
22515,2018-02-04,339.98,249.99,yes,0.0,fulfilled,"MONO Vertigo Bass Guitar Case, Grey",M80-VEB-GRY,1,Bass Guitar Cases & Gig Bags,7,Non Holidays
22504,2018-02-05,169.99,169.99,yes,0.0,fulfilled,"MONO Tour Accessory Case 2.0, Black",M80-TOUR-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,1,Non Holidays
22501,2018-02-05,221.59,199.99,yes,0.0,fulfilled,"MONO Classic Acoustic Parlor Guitar Case, Black",M80-AP-BLK,1,Acoustic Guitar Cases & Gig Bags,1,Non Holidays
22511,2018-02-04,,0.01,yes,0.0,fulfilled,MONO Tear-Aid Fabric Repair Kit,TEAR-AID,1,Spareparts,7,Non Holidays
22488,2018-02-06,160.86,149.99,yes,0.0,fulfilled,"MONO Classic Tenor Ukulele Case, Black",M80-UT-BLK,1,Ukulele Cases & Gig Bags,2,Non Holidays
22491,2018-02-06,329.99,329.99,yes,0.0,fulfilled,"MONO Classic Dual Acoustic/Electric Guitar Case, Black",M80-2A-BLK,1,Electric Guitar Cases & Gig Bags,2,Non Holidays
22498,2018-02-05,166.16,189.99,no,47.49,fulfilled,"MONO Cymbal Case 22"", Black",M80-CY22-BLK,1,Drum & Percussion Cases & Gig Bags,1,Non Holidays
22481,2018-02-06,62.27,49.99,yes,0.0,fulfilled,"MONO Betty Guitar Strap, Long, Black",M80-BTY-BLK-L,1,Guitar Straps,2,Non Holidays
22487,2018-02-06,199.98,109.99,yes,0.0,fulfilled,"MONO Pedalboard Lite, Black",PFX-PB-LT-BLK,1,Pedalboards,2,Non Holidays
22487,2018-02-06,199.98,89.99,yes,0.0,fulfilled,"MONO Classic Tick Accessory Case 2.0, Grey",M80-TICK-V2-GRY,1,Pedals & Pedalboards Cases & Gig Bags,2,Non Holidays
22479,2018-02-06,669.97,199.99,yes,0.0,fulfilled,"MONO Pro Accessory Case 2.0, Black",M80-PRO-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,2,Non Holidays
22479,2018-02-06,669.97,269.99,yes,0.0,fulfilled,"MONO Pedalboard Large, Silver",PFX-PB-L-SLV,1,Pedalboards,2,Non Holidays
22479,2018-02-06,669.97,199.99,yes,0.0,fulfilled,"MONO Classic Acoustic Parlor Guitar Case, Black",M80-AP-BLK,1,Acoustic Guitar Cases & Gig Bags,2,Non Holidays
