,pdq_config,rmse
206,"[(2, 0, 1), (2, 0, 2, 12), 't']",4.910139926914624
207,"[(1, 0, 2), (0, 0, 0, 12), 'c']",4.917651043278652
208,"[(0, 1, 0), (2, 1, 0, 12), 't']",4.9227339168991175
209,"[(0, 1, 0), (2, 1, 1, 12), 't']",4.9227339168991175
210,"[(0, 1, 0), (0, 1, 2, 12), 't']",4.922733916899262
211,"[(0, 1, 0), (1, 1, 2, 12), 't']",4.922733916899262
212,"[(0, 1, 0), (2, 1, 2, 12), 't']",4.922733916899262
213,"[(1, 0, 0), (0, 0, 0, 12), 't']",4.923380249013118
214,"[(0, 1, 1), (0, 0, 2, 12), 't']",4.925318684064565
215,"[(1, 1, 2), (0, 0, 0, 12), 't']",4.927474974967189
216,"[(2, 0, 1), (0, 1, 2, 12), 't']",4.93320578197777
217,"[(2, 0, 1), (1, 1, 2, 12), 't']",4.93320578197777
218,"[(2, 0, 1), (2, 1, 0, 12), 't']",4.93320578197777
219,"[(2, 0, 1), (2, 1, 1, 12), 't']",4.93320578197777
220,"[(2, 0, 1), (2, 1, 2, 12), 't']",4.93320578197777
221,"[(2, 0, 0), (1, 0, 2, 12), 'c']",4.934701701193655
222,"[(0, 1, 2), (0, 1, 0, 12), 'ct']",4.935127209144924
223,"[(0, 0, 1), (0, 1, 1, 12), 'c']",4.938764874892898
224,"[(2, 0, 1), (2, 0, 2, 12), 'c']",4.9390306563643165
225,"[(0, 1, 0), (1, 0, 0, 12), 't']",4.940176233191832
226,"[(2, 0, 1), (2, 0, 1, 12), 't']",4.944864836343129
227,"[(0, 0, 1), (1, 0, 0, 12), 't']",4.947926288106366
228,"[(1, 0, 0), (1, 0, 2, 12), 't']",4.947949494892152
229,"[(2, 0, 1), (2, 0, 1, 12), 'c']",4.950115131624279
230,"[(2, 0, 2), (1, 0, 2, 12), 'ct']",4.958536310307223
231,"[(1, 1, 1), (1, 0, 0, 12), 'ct']",4.959491162430528
232,"[(0, 1, 1), (1, 0, 0, 12), 'ct']",4.96178662743789
233,"[(1, 0, 0), (0, 0, 2, 12), 'c']",4.968407781463097
234,"[(1, 1, 2), (1, 0, 0, 12), 'c']",4.96841989477318
235,"[(0, 1, 0), (0, 1, 0, 12), 'ct']",4.974587821773923
236,"[(2, 1, 1), (0, 0, 0, 12), 'ct']",4.975137633773027
237,"[(0, 1, 0), (0, 0, 1, 12), 't']",4.9821533430184335
238,"[(0, 1, 0), (0, 0, 0, 12), 't']",4.990185029388981
239,"[(2, 1, 0), (0, 0, 1, 12), 'ct']",5.011956234015402
240,"[(1, 0, 1), (1, 0, 2, 12), 't']",5.032016612129736
241,"[(1, 0, 1), (1, 0, 0, 12), 'ct']",5.034336609741256
242,"[(0, 1, 0), (1, 0, 1, 12), 't']",5.041159657710119
243,"[(2, 0, 1), (2, 0, 0, 12), 't']",5.044759679104634
244,"[(2, 1, 0), (1, 0, 0, 12), 'c']",5.050228437657674
245,"[(1, 0, 0), (0, 0, 1, 12), 'c']",5.051130847106165
246,"[(1, 0, 1), (0, 1, 2, 12), 't']",5.052993365224041
247,"[(1, 0, 1), (1, 1, 2, 12), 't']",5.052993365224041
248,"[(1, 0, 1), (2, 1, 2, 12), 't']",5.052993365224041
249,"[(1, 1, 1), (1, 0, 0, 12), 'c']",5.057381806168791
250,"[(1, 1, 2), (0, 1, 0, 12), 't']",5.06364701452884
251,"[(1, 0, 0), (0, 1, 0, 12), 't']",5.06432144431915
252,"[(1, 0, 1), (0, 0, 1, 12), 'c']",5.069343768413522
253,"[(2, 1, 0), (1, 0, 1, 12), 't']",5.074259511803888
254,"[(0, 0, 1), (0, 0, 1, 12), 'ct']",5.077095408482478
255,"[(2, 0, 2), (0, 0, 2, 12), 't']",5.083543622083081
256,"[(1, 1, 0), (1, 0, 0, 12), 'ct']",5.083973312344942
257,"[(1, 1, 2), (0, 0, 1, 12), 'ct']",5.088466700984737
258,"[(1, 1, 2), (1, 0, 1, 12), 'ct']",5.093911941410301
259,"[(0, 0, 2), (2, 0, 0, 12), 'ct']",5.098580920639098
260,"[(1, 0, 1), (2, 1, 0, 12), 't']",5.110522631431501
261,"[(1, 0, 1), (2, 1, 1, 12), 't']",5.110522631431501
262,"[(0, 1, 0), (0, 0, 0, 12), 'ct']",5.1233116875399025
263,"[(0, 1, 0), (1, 0, 2, 12), 'c']",5.130814173649536
264,"[(2, 1, 0), (1, 0, 0, 12), 't']",5.143738228915377
265,"[(1, 0, 1), (0, 1, 1, 12), 'c']",5.151189525372338
266,"[(0, 1, 0), (2, 0, 2, 12), 't']",5.1637363935810425
267,"[(1, 0, 0), (0, 1, 0, 12), 'ct']",5.171631166463571
268,"[(0, 0, 1), (0, 0, 1, 12), 'c']",5.1776673704281615
269,"[(0, 0, 2), (1, 0, 1, 12), 'c']",5.178574236145767
270,"[(1, 0, 2), (0, 0, 1, 12), 'ct']",5.185963084181224
271,"[(0, 1, 2), (1, 0, 0, 12), 't']",5.186135998062304
272,"[(0, 1, 2), (0, 1, 0, 12), 't']",5.1918713544873665
273,"[(1, 1, 0), (1, 0, 1, 12), 'ct']",5.1970246658541415
274,"[(0, 1, 2), (1, 0, 0, 12), 'ct']",5.1979210360837325
275,"[(0, 1, 0), (1, 0, 2, 12), 't']",5.2024449786324505
276,"[(0, 0, 2), (1, 0, 0, 12), 'ct']",5.2085580941058955
277,"[(0, 1, 0), (0, 0, 2, 12), 'c']",5.209130267421035
278,"[(0, 0, 1), (1, 0, 0, 12), 'c']",5.2114507276782485
279,"[(2, 0, 0), (1, 0, 0, 12), 'c']",5.213124021310199
280,"[(1, 1, 0), (0, 0, 1, 12), 'ct']",5.213974621531968
281,"[(0, 1, 0), (2, 0, 2, 12), 'c']",5.218760050713968
282,"[(0, 1, 2), (0, 0, 1, 12), 'c']",5.219766586515848
283,"[(1, 0, 1), (1, 1, 1, 12), 'c']",5.220374153653595
284,"[(0, 0, 0), (0, 0, 1, 12), 'c']",5.228739752577302
285,"[(2, 0, 1), (1, 0, 1, 12), 'c']",5.233261215645049
286,"[(0, 0, 2), (0, 0, 1, 12), 'ct']",5.237374838462089
287,"[(1, 1, 0), (2, 0, 2, 12), 'c']",5.252106813329833
288,"[(1, 0, 1), (1, 0, 2, 12), 'ct']",5.254829499088113
