order_id,order_date,order_total_price,product_price,order_discounts,product_discount,order_status,product_title,product_sku,product_quantity,product_category
18138,2018-02-18,172.5,229.99,no,0.0,fulfilled,Single Electric Bass,M80-EB-BLK,1,Bass Guitar Cases & Gig Bags
18117,2018-02-20,258.96,229.99,yes,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
22480,2018-02-06,49.99,49.99,yes,0.0,fulfilled,The Betty (Black-Long),M80-BTY-BLK-L,1,Guitar Straps
18102,2018-02-22,389.98,169.99,yes,0.0,fulfilled,Tour 2.0,M80-TOUR-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
18099,2018-02-23,251.83,229.99,yes,0.0,fulfilled,Acoustic (Dreadnought / Standard),M80-AD-BLK,1,Acoustic Guitar Cases & Gig Bags
18104,2018-02-22,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18103,2018-02-22,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18105,2018-02-22,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18096,2018-02-25,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18085,2018-02-26,250.52,229.99,yes,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18098,2018-02-25,229.99,229.99,yes,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18094,2018-02-25,,89.99,no,89.99,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
18095,2018-02-25,,229.99,no,229.99,fulfilled,Single Electric Guitar,M80-EG-BLK,1,Electric Guitar Cases & Gig Bags
18083,2018-02-26,,89.99,no,89.99,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
18083,2018-02-26,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
