order_id,order_created_at,order_total_price,order_status,order_discounts,product_title,product_sku,product_quantity,product_discount,product_category,product_deparments,product_created_at,,,
22581,2018-01-24T06:05:47.000Z,249.99,fulfilled,yes,Vertigo™ Acoustic Guitar,M80-VAD-BLK,1,0,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22582,2018-01-23T19:18:55.000Z,,fulfilled,yes,Side-release Buckle Small,SRB-S-BLK,1,0,,,,,,
22578,2018-01-24T07:05:37.000Z,179.99,fulfilled,yes,Acoustic Guitar Sleeve™,M80-SAD-BLK,1,0,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22573,2018-01-24T17:49:47.000Z,187.5,fulfilled,no,Vertigo™ Acoustic Guitar,M80-VAD-BLK,1,0,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22575,2018-01-24T16:08:23.000Z,249.99,fulfilled,yes,Vertigo™ Electric Guitar,M80-VEG-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22572,2018-01-24T22:03:00.000Z,149.99,fulfilled,yes,Pedalboard Club Case,M80-PB1-BLK,1,0,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22569,2018-01-25T08:35:57.000Z,273.73,fulfilled,yes,Vertigo™ Semi-Hollow,M80-VHB-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22570,2018-01-25T07:31:36.000Z,180,fulfilled,no,Acoustic (Parlor),M80-AP-BLK,1,0,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22568,2018-01-25T09:29:14.000Z,229.99,fulfilled,yes,Acoustic (Classical / OM),M80-AC-BLK,1,0,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22576,2018-01-24T14:47:46.000Z,65.44,fulfilled,yes,Loop Laptop,CVL-LLT-13-BLK,1,0,Gifts,,2017-10-26T02:57:14.000Z,,,
22577,2018-01-24T13:29:37.000Z,329.99,fulfilled,yes,Dual Acoustic + Electric,M80-2A-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20476,2018-01-09T12:11:28.000Z,49.99,fulfilled,yes,The Betty (Black-Short),M80-BTY-BLK-S,1,0,Guitar Straps,,2017-10-26T02:57:14.000Z,,,
22561,2018-01-26T11:15:52.000Z,329.99,fulfilled,yes,Dual Electric Bass,M80-2B-BLK,1,0,Bass Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22565,2018-01-25T23:02:49.000Z,189.99,fulfilled,yes,Cymbal 22 (Ash),M80-CY22-ASH,1,0,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22562,2018-01-26T09:43:23.000Z,329.99,fulfilled,yes,Dual Electric Guitar,M80-2G-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20449,2018-01-11T11:57:46.000Z,,fulfilled,no,Cymbal 22 (Ash),M80-CY22-ASH,1,189.99,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22556,2018-01-28T18:04:01.000Z,,,no,Vertigo™ Electric Bass (Grey),M80-VEB-GRY,1,249.99,Bass Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22645,2018-01-17T09:22:54.000Z,,fulfilled,no,Dual Electric Guitar,M80-2G-BLK,1,329.99,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22644,2018-01-17T09:49:21.000Z,,fulfilled,no,Vertigo™ Electric Bass (Grey),M80-VEB-GRY,1,249.99,Bass Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22553,2018-01-29T11:41:01.000Z,149.99,fulfilled,yes,Pedalboard Club Case,M80-PB1-BLK,1,0,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22559,2018-01-27T23:33:18.000Z,361.33,fulfilled,yes,Dual Electric Guitar,M80-2G-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22555,2018-01-28T20:14:52.000Z,,fulfilled,no,Dual Electric Guitar,M80-2G-BLK,1,329.99,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22557,2018-01-28T06:33:35.000Z,249.99,fulfilled,yes,Vertigo™ Acoustic Guitar,M80-VAD-BLK,1,0,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22558,2018-01-28T04:53:02.000Z,164.23,fulfilled,yes,Bass Sleeve™ (Black),M80-SEB-BLK,1,0,Bass Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22551,2018-01-29T16:00:18.000Z,255.99,fulfilled,no,Die Cut Wallet (Sharkskin),CVL-DCW-BLK,1,0,Wallets,,2017-10-26T02:57:14.000Z,,,
22551,2018-01-29T16:00:18.000Z,255.99,fulfilled,no,Shogun Stick,M80-SS-BLK,1,0,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22551,2018-01-29T16:00:18.000Z,255.99,fulfilled,no,Cymbal 22 (Ash),M80-CY22-ASH,1,0,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22549,2018-01-29T21:02:04.000Z,102.99,fulfilled,yes,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,0,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22537,2018-01-31T04:21:17.000Z,249.99,fulfilled,yes,Vertigo™ Electric Bass (Grey),M80-VEB-GRY,1,0,Bass Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22538,2018-01-31T04:18:25.000Z,149.99,fulfilled,yes,Snare,M80-SN-BLK,1,0,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22536,2018-01-31T08:33:01.000Z,149.99,fulfilled,yes,Snare,M80-SN-BLK,1,0,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22528,2018-02-01T01:42:48.000Z,,fulfilled,no,Dual Electric Guitar,M80-2G-BLK,1,329.99,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22533,2018-01-31T17:34:14.000Z,,fulfilled,no,Dual Electric Guitar,M80-2G-BLK,1,329.99,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22533,2018-01-31T17:34:14.000Z,,fulfilled,no,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,89.99,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22532,2018-01-31T21:59:09.000Z,,fulfilled,no,Dual Acoustic + Electric,M80-2A-BLK,1,329.99,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22527,2018-02-01T01:46:36.000Z,68.15,fulfilled,yes,Shogun Stick,M80-SS-BLK,1,0,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
22530,2018-02-01T01:05:36.000Z,,fulfilled,yes,TEAR-AID,TEAR-AID,1,0,,,,,,
20517,2018-01-05T11:30:37.000Z,1584.65,fulfilled,yes,Guitar Sleeve™,M80-SEG-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20517,2018-01-05T11:30:37.000Z,1584.65,fulfilled,yes,The Tick™ 2.0 Grey,M80-TICK-V2-GRY,1,0,Pedals & Pedalboards Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20517,2018-01-05T11:30:37.000Z,1584.65,fulfilled,yes,Cymbal 24 (Ash),M80-CY24-ASH,1,0,Drum & Percussion Cases & Gig Bags,,2018-02-01T02:03:39.000Z,,,
20517,2018-01-05T11:30:37.000Z,1584.65,fulfilled,yes,Studio Stick (ASH),M80-ST-ASH,1,0,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20517,2018-01-05T11:30:37.000Z,1584.65,fulfilled,yes,Vertigo™ Keyboard 61,M80-K61-BLK,1,0,Keyboard Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20517,2018-01-05T11:30:37.000Z,1584.65,fulfilled,yes,The FlyBy,EFX-FLY-BLK,1,0,DJ Equipment Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20517,2018-01-05T11:30:37.000Z,1584.65,fulfilled,yes,The Warsaw (Manta Black),M80-WAR-BLK,2,0,Guitar Straps,,2017-10-26T02:57:14.000Z,,,
20517,2018-01-05T11:30:37.000Z,1584.65,fulfilled,yes,The Doolittle (True Black),M80-DLT-BLK,2,0,Guitar Straps,,2017-10-26T02:57:14.000Z,,,
20517,2018-01-05T11:30:37.000Z,1584.65,fulfilled,yes,Pedalboard Lite (Black),PFX-PB-LT-BLK,1,0,Pedalboards,,2017-10-26T02:57:14.000Z,,,
20517,2018-01-05T11:30:37.000Z,1584.65,fulfilled,yes,Pedalboard Medium (Black),PFX-PB-M-BLK,1,0,,,,,,
