id,sku,price_usd,category,tags,created_at
48150,M80-PRO-V2-BLK,199.99,Pedals & Pedalboards Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
48151,M80-CLUB-V2-BLK,149.99,Pedals & Pedalboards Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
48152,M80-TOUR-V2-BLK,169.99,Pedals & Pedalboards Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
48153,M80-CY22-ASH,189.99,Drum & Percussion Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
48154,M80-ST-ASH,79.99,Drum & Percussion Cases & Gig Bags,Cases & Gig Bags,2017-10-26T02:57:14.000Z
48155,PFX-PB-LT-BLK,109.99,Pedalboards,Pedals & Pedalboards,2017-10-26T02:57:14.000Z
48156,PFX-PB-LT-SLV,109.99,Pedalboards,Pedals & Pedalboards,2017-10-26T02:57:14.000Z
51849,M80-CY24-BLK,209.99,Drum & Percussion Cases & Gig Bags,Cases & Gig Bags,2018-02-01T02:03:39.000Z
51850,M80-CY24-ASH,209.99,Drum & Percussion Cases & Gig Bags,Cases & Gig Bags,2018-02-01T02:03:39.000Z
53942,M80-STEG-BLK,199.99,Electric Guitar Cases & Gig Bags,Cases & Gig Bags,2018-05-31T18:01:09.000Z
53943,M80-VUC-BLK,169.99,Ukulele Cases & Gig Bags,Cases & Gig Bags,2018-05-31T18:01:09.000Z
53944,M80-VUT-BLK,169.99,Ukulele Cases & Gig Bags,Cases & Gig Bags,2018-05-31T18:01:09.000Z
55531,M80-STEB-BLK,199.99,Bass Guitar Cases & Gig Bags,Cases & Gig Bags,2018-06-28T00:43:55.000Z
55532,PFX-PB-ACC-KIT,29.99,Pedalboards,Accessories,2018-06-28T00:43:55.000Z
55533,PFX-PB-R-BLK,29.99,Pedalboards,Pedals & Pedalboards,2018-06-28T00:43:55.000Z
55534,PFX-PB-R-SLV,29.99,Pedalboards,Pedals & Pedalboards,2018-06-28T00:43:55.000Z
55535,PFX-PB-RP-BLK,39.99,Pedalboards,Pedals & Pedalboards,2018-06-28T00:43:55.000Z
55536,PFX-PB-RP-SLV,39.99,Pedalboards,Pedals & Pedalboards,2018-06-28T00:43:55.000Z
274690,M80-JA-BLK,269.99,Acoustic Guitar Cases & Gig Bags,Cases & Gig Bags,2018-12-31T07:15:33.000Z
444572,CVL-LLT-17-WHT,49.99,Fashion Accessories,Lifestyle & Gifts,2019-03-28T01:18:00.000Z
591988,PFX-PB-L-BLK-BDL,269.99,Pedalboards,"Cases & Gig Bags,Pedals & Pedalboards",2019-05-12T22:30:50.000Z
591989,PFX-PB-L-SLV-BDL,269.99,Pedalboards,"Cases & Gig Bags,Pedals & Pedalboards",2019-05-12T22:30:50.000Z
591990,PFX-PB-M-BLK-BDL,219.99,Pedalboards,"Cases & Gig Bags,Pedals & Pedalboards",2019-05-12T22:30:50.000Z
591991,PFX-PB-M-SLV-BDL,219.99,Pedalboards,"Cases & Gig Bags,Pedals & Pedalboards",2019-05-12T22:30:50.000Z
591992,PFX-PB-S-BLK-BDL,179.99,Pedalboards,"Cases & Gig Bags,Pedals & Pedalboards",2019-05-12T22:30:50.000Z
591993,PFX-PB-S-SLV-BDL,179.99,Pedalboards,"Cases & Gig Bags,Pedals & Pedalboards",2019-05-12T22:30:50.000Z
861944,M80-STAB-BLK,149.99,DJ Equipment Cases & Gig Bags,Cases & Gig Bags,2019-06-25T18:45:53.000Z
861946,M80-STRM-BLK,129.99,DJ Equipment Cases & Gig Bags,Cases & Gig Bags,2019-06-25T18:45:53.000Z
2613601,PFX-SMS-BLK,199.99,Speaker Stands,"Software & Recording,Accessories",2020-01-09T19:16:17.000Z
2613602,PFX-SMS-SLV,199.99,Speaker Stands,"Software & Recording,Accessories",2020-01-09T19:16:17.000Z
2667170,PFX-PBC-L-SLV-BDL,499.99,Pedalboards,"Pedals & Pedalboards,Cases & Gig Bags",2020-01-14T18:48:13.000Z
2667171,PFX-PBC-M-SLV-BDL,399.99,Pedalboards,"Pedals & Pedalboards,Cases & Gig Bags",2020-01-14T18:48:13.000Z
2667172,PFX-PBC-S-SLV-BDL,299.99,Pedalboards,"Pedals & Pedalboards,Cases & Gig Bags",2020-01-14T18:48:13.000Z
3268713,M80-VEG-CAM,269.99,Electric Guitar Cases & Gig Bags,Cases & Gig Bags,2020-05-18T22:16:51.000Z
3769692,M80-FLY-ULT-BLK,299.99,DJ Equipment Cases & Gig Bags,Cases & Gig Bags,2020-07-22T20:16:48.000Z
